date,shipped_kg
2018-09-08,0.0
2018-09-09,0.0
2018-09-10,0.0
2018-09-11,0.0
2018-09-12,0.0
2018-09-13,0.0
2018-09-14,0.0
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-20,23.04
2018-09-21,17.28
2018-09-22,0.0
2018-09-23,0.0
2018-09-24,40.32
2018-09-25,80.64
2018-09-26,97.92
2018-09-27,149.76
2018-09-28,334.08
2018-09-29,0.0
2018-09-30,495.35999999999996
2018-10-01,645.12
2018-10-02,0.0
2018-10-03,357.12
2018-10-04,397.44
2018-10-05,696.9599999999999
2018-10-06,0.0
2018-10-07,0.0
2018-10-08,1468.8
2018-10-09,915.8399999999999
2018-10-10,1267.2
2018-10-11,1036.8
2018-10-12,2666.88
2018-10-13,0.0
2018-10-14,1105.92
2018-10-15,2720.16
2018-10-16,0.0
2018-10-17,2730.24
2018-10-18,3150.72
2018-10-19,3168.0
2018-10-20,0.0
2018-10-21,2304.0
2018-10-22,2655.36
2018-10-23,0.0
2018-10-24,2764.7999999999997
2018-10-25,2361.6
2018-10-26,2914.56
2018-10-27,0.0
2018-10-28,2977.92
2018-10-29,2517.12
2018-10-30,3133.44
2018-10-31,3427.2
2018-11-01,5080.32
2018-11-02,0.0
2018-11-03,0.0
2018-11-04,6537.599999999999
2018-11-05,5293.44
2018-11-06,0.0
2018-11-07,5172.48
2018-11-08,4821.12
2018-11-09,6048.0
2018-11-10,0.0
2018-11-11,6992.639999999999
2018-11-12,8248.32
2018-11-13,0.0
2018-11-14,11669.76
2018-11-15,8449.92
2018-11-16,9607.68
2018-11-17,0.0
2018-11-18,9671.039999999999
2018-11-19,7038.719999999999
2018-11-20,9031.68
2018-11-21,10500.48
2018-11-22,0.0
2018-11-23,14302.08
2018-11-24,0.0
2018-11-25,10494.72
2018-11-26,7902.719999999999
2018-11-27,7741.44
2018-11-28,7280.639999999999
2018-11-29,7689.599999999999
2018-11-30,8184.96
2018-12-01,0.0
2018-12-02,8524.8
2018-12-03,8565.119999999999
2018-12-04,0.0
2018-12-05,11986.56
2018-12-06,8985.6
2018-12-07,11145.6
2018-12-08,0.0
2018-12-09,9705.6
2018-12-10,9354.24
2018-12-11,0.0
2018-12-12,11957.76
2018-12-13,8472.96
2018-12-14,8208.0
2018-12-15,0.0
2018-12-16,6405.12
2018-12-17,6600.96
2018-12-18,5725.44
2018-12-19,6992.639999999999
2018-12-20,6618.24
2018-12-21,9907.199999999999
2018-12-22,0.0
2018-12-23,10080.0
2018-12-24,8064.0
2018-12-25,7171.2
2018-12-26,8179.2
2018-12-27,8893.44
2018-12-28,9786.24
2018-12-29,9751.68
2018-12-30,11422.08
2018-12-31,12689.279999999999
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,18397.44
2019-01-05,0.0
2019-01-06,13829.76
2019-01-07,10224.0
2019-01-08,0.0
2019-01-09,12021.119999999999
2019-01-10,8058.24
2019-01-11,10333.44
2019-01-12,103.67999999999999
2019-01-13,0.0
2019-01-14,10984.32
2019-01-15,7263.36
2019-01-16,6865.92
2019-01-17,7292.16
2019-01-18,8150.4
2019-01-19,0.0
2019-01-20,7960.32
2019-01-21,7827.84
2019-01-22,0.0
2019-01-23,10437.119999999999
2019-01-24,6716.16
2019-01-25,8726.4
2019-01-26,0.0
2019-01-27,8622.72
2019-01-28,7891.2
2019-01-29,0.0
2019-01-30,9918.72
2019-01-31,7125.12
2019-02-01,8472.96
2019-02-02,0.0
2019-02-03,7781.759999999999
2019-02-04,6998.4
2019-02-05,0.0
2019-02-06,10920.96
2019-02-07,6537.599999999999
2019-02-08,7966.08
2019-02-09,0.0
2019-02-10,0.0
2019-02-11,9682.56
2019-02-12,5760.0
2019-02-13,5840.639999999999
2019-02-14,5356.8
2019-02-15,6860.16
2019-02-16,0.0
2019-02-17,6906.24
2019-02-18,6577.92
2019-02-19,0.0
2019-02-20,9601.92
2019-02-21,5863.679999999999
2019-02-22,7937.28
2019-02-23,0.0
2019-02-24,7678.08
2019-02-25,7983.36
2019-02-26,0.0
2019-02-27,10270.08
2019-02-28,6998.4
2019-03-01,8864.64
2019-03-02,0.0
2019-03-03,8058.24
2019-03-04,7292.16
2019-03-05,0.0
2019-03-06,9878.4
2019-03-07,6814.08
2019-03-08,8035.2
2019-03-09,0.0
2019-03-10,8922.24
2019-03-11,7378.5599999999995
2019-03-12,0.0
2019-03-13,9699.84
2019-03-14,6894.719999999999
2019-03-15,8841.6
2019-03-16,0.0
2019-03-17,8576.64
2019-03-18,6376.32
2019-03-19,9596.16
2019-03-20,0.0
2019-03-21,11283.84
2019-03-22,10448.64
2019-03-23,0.0
2019-03-24,11404.8
2019-03-25,8991.359999999999
2019-03-26,0.0
2019-03-27,12608.64
2019-03-28,7672.32
2019-03-29,10287.359999999999
2019-03-30,0.0
2019-03-31,9619.199999999999
2019-04-01,8277.119999999999
2019-04-02,0.0
2019-04-03,12476.16
2019-04-04,7562.88
2019-04-05,10656.0
2019-04-06,0.0
2019-04-07,10684.8
2019-04-08,9452.16
2019-04-09,0.0
2019-04-10,14146.56
2019-04-11,8910.72
2019-04-12,9550.08
2019-04-13,0.0
2019-04-14,10586.88
2019-04-15,10074.24
2019-04-16,0.0
2019-04-17,15891.84
2019-04-18,10051.199999999999
2019-04-19,13167.359999999999
2019-04-20,0.0
2019-04-21,11952.0
2019-04-22,10454.4
2019-04-23,0.0
2019-04-24,19071.36
2019-04-25,11980.8
2019-04-26,14774.4
2019-04-27,0.0
2019-04-28,14866.56
2019-04-29,8841.6
2019-04-30,0.0
2019-05-01,12032.64
2019-05-02,9008.64
2019-05-03,12153.6
2019-05-04,0.0
2019-05-05,13979.519999999999
2019-05-06,10183.68
2019-05-07,0.0
2019-05-08,17205.12
2019-05-09,9688.32
2019-05-10,11750.4
2019-05-11,0.0
2019-05-12,15091.199999999999
2019-05-13,12314.88
2019-05-14,0.0
2019-05-15,21421.44
2019-05-16,10172.16
2019-05-17,13161.6
2019-05-18,0.0
2019-05-19,13213.439999999999
2019-05-20,12159.359999999999
2019-05-21,0.0
2019-05-22,20534.399999999998
2019-05-23,10362.24
2019-05-24,14031.359999999999
2019-05-25,0.0
2019-05-26,13593.6
2019-05-27,12032.64
2019-05-28,0.0
2019-05-29,16888.32
2019-05-30,9031.68
2019-05-31,14780.16
2019-06-01,0.0
2019-06-02,19290.239999999998
2019-06-03,16162.56
2019-06-04,0.0
2019-06-05,28967.039999999997
2019-06-06,13760.64
2019-06-07,15759.359999999999
2019-06-08,0.0
2019-06-09,12395.52
2019-06-10,9584.64
2019-06-11,0.0
2019-06-12,13161.6
2019-06-13,9210.24
2019-06-14,14175.359999999999
2019-06-15,0.0
2019-06-16,16715.52
2019-06-17,11157.119999999999
2019-06-18,0.0
2019-06-19,12764.16
2019-06-20,7971.84
2019-06-21,11571.84
2019-06-22,0.0
2019-06-23,11802.24
2019-06-24,9429.119999999999
2019-06-25,0.0
2019-06-26,16940.16
2019-06-27,10373.76
2019-06-28,12994.56
2019-06-29,0.0
2019-06-30,12833.279999999999
2019-07-01,6036.48
2019-07-02,0.0
2019-07-03,7539.84
2019-07-04,4942.08
2019-07-05,5794.5599999999995
2019-07-06,0.0
2019-07-07,7148.16
2019-07-08,4331.5199999999995
2019-07-09,0.0
2019-07-10,5149.44
2019-07-11,3456.0
2019-07-12,3836.16
2019-07-13,0.0
2019-07-14,0.0
2019-07-15,1514.8799999999999
2019-07-16,662.4
2019-07-17,334.08
2019-07-18,276.48
2019-07-19,443.52
2019-07-20,0.0
2019-07-21,316.8
2019-07-22,184.32
2019-07-23,0.0
2019-07-24,403.2
2019-07-25,178.56
2019-07-26,167.04
2019-07-27,0.0
2019-07-28,218.88
2019-07-29,172.79999999999998
2019-07-30,0.0
2019-07-31,247.67999999999998
2019-08-01,69.12
2019-08-02,51.839999999999996
2019-08-03,0.0
2019-08-04,0.0
2019-08-05,28.799999999999997
2019-08-06,0.0
2019-08-07,63.36
2019-08-08,17.28
2019-08-09,46.08
2019-08-10,0.0
2019-08-11,34.56
2019-08-12,34.56
2019-08-13,0.0
2019-08-14,0.0
2019-08-15,0.0
2019-08-16,28.799999999999997
2019-08-17,0.0
2019-08-18,0.0
2019-08-19,0.0
2019-08-20,0.0
2019-08-21,0.0
2019-08-22,0.0
2019-08-23,0.0
2019-08-24,0.0
2019-08-25,0.0
2019-08-26,0.0
2019-08-27,0.0
2019-08-28,0.0
2019-08-29,0.0
2019-08-30,0.0
2019-08-31,0.0
2019-09-01,0.0
2019-09-02,0.0
2019-09-03,0.0
2019-09-04,0.0
2019-09-05,0.0
2019-09-06,0.0
2019-09-07,0.0
2019-09-08,0.0
2019-09-09,0.0
2019-09-10,0.0
2019-09-11,0.0
2019-09-12,0.0
2019-09-13,0.0
2019-09-14,0.0
2019-09-15,0.0
2019-09-16,0.0
2019-09-17,0.0
2019-09-18,0.0
2019-09-19,0.0
2019-09-20,0.0
2019-09-21,0.0
2019-09-22,0.0
2019-09-23,57.599999999999994
2019-09-24,247.67999999999998
2019-09-25,5.76
2019-09-26,259.2
2019-09-27,184.32
2019-09-28,0.0
2019-09-29,195.84
2019-09-30,334.08
2019-10-01,0.0
2019-10-02,362.88
2019-10-03,656.64
2019-10-04,852.48
2019-10-05,0.0
2019-10-06,910.0799999999999
2019-10-07,1140.48
2019-10-08,0.0
2019-10-09,1543.6799999999998
2019-10-10,2056.3199999999997
2019-10-11,1445.76
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,1612.8
2019-10-15,1895.04
2019-10-16,1203.84
